Categorie1;Categorie2;Data_type;Aantal_decimalen;Variabele;actual-projection;raming_2010;raming_2013;raming_2016;raming_2019_demo;raming_2022;raming_2025
Jaar;;Jaar;0;ramingsjaar;;2010;2013;2016;2019;2022;2025
Jaar;;Jaar;0;basisjaar;;2010;2013;2016;2019;2022;2025
Jaar;;Jaar;0;bijsturingsjaar;;2012;2015;2018;2021;2024;2027
Jaar;;Jaar;0;opleidingsduur;;3;3;3;3;3;3
Jaar;;Jaar;0;trendjaar;;2020;2023;2026;2029;2032;2035
Jaar;;Jaar;0;evenwichtsjaar1;;2022;2025;2028;2031;2034;2037
Jaar;;Jaar;0;evenwichtsjaar2;;2028;2031;2033;2037;2040;2043
Zorgaanbod;;Aantal;0;aanbod_personen;actual;10371;11133;11821;12766;13492;14347
Zorgaanbod;;Percentage;3;per_vrouw_basis;actual;0,419;0,454;0,524;0,577;0,61;0,66
Zorgaanbod;Fte-factor;Getal;3;fte_vrouw_basis;actual;0,551;0,64;0,65;0,71;0,71;0,72
Zorgaanbod;Fte-factor;Getal;3;fte_vrouw_basis_vijf;actual;0,551;0,64;0,65;0,71;0,71;0,72
Zorgaanbod;Fte-factor;Getal;3;fte_vrouw_basis_tien;actual;0,551;0,64;0,65;0,71;0,71;0,72
Zorgaanbod;Fte-factor;Getal;3;fte_vrouw_basis_vijftien;actual;0,551;0,64;0,65;0,71;0,71;0,72
Zorgaanbod;Fte-factor;Getal;3;fte_vrouw_basis_twintig;actual;0,551;0,64;0,65;0,71;0,71;0,72
Zorgaanbod;Fte-factor;Getal;3;fte_man_basis;actual;0,822;0,83;0,85;0,79;0,83;0,81
Zorgaanbod;Fte-factor;Getal;3;fte_man_basis_vijf;actual;0,822;0,83;0,85;0,79;0,83;0,81
Zorgaanbod;Fte-factor;Getal;3;fte_man_basis_tien;actual;0,822;0,83;0,85;0,79;0,83;0,81
Zorgaanbod;Fte-factor;Getal;3;fte_man_basis_vijftien;actual;0,822;0,83;0,85;0,79;0,83;0,81
Zorgaanbod;Fte-factor;Getal;3;fte_man_basis_twintig;actual;0,822;0,83;0,85;0,79;0,83;0,81
Zorgaanbod;Fte-factor;Getal;3;fte_totaal_basis;actual;0,7085;0,7437;0,7452;0,7438;0,7568;0,7506
Zorgaanbod;Fte-factor;Getal;3;fte_totaal_basis_vijf;actual;0,7085;0,7437;0,7452;0,7438;0,7568;0,7506
Zorgaanbod;Fte-factor;Getal;3;fte_totaal_basis_tien;actual;0,7085;0,7437;0,7452;0,7438;0,7568;0,7506
Zorgaanbod;Fte-factor;Getal;3;fte_totaal_basis_vijftien;actual;0,7085;0,7437;0,7452;0,7438;0,7568;0,7506
Zorgaanbod;Fte-factor;Getal;3;fte_totaal_basis_twintig;actual;0,7085;0,7437;0,7452;0,7438;0,7568;0,7506
Zorgaanbod;Uitstroom;Percentage;3;uitstroom_vrouw_basis_vijf;projection;0,084;0,063;0,06;0,05;0,06;0,116
Zorgaanbod;Uitstroom;Percentage;3;uitstroom_vrouw_basis_tien;projection;0,192;0,158;0,129;0,143;0,16;0,232
Zorgaanbod;Uitstroom;Percentage;3;uitstroom_vrouw_basis_vijftien;projection;0,313;0,266;0,226;0,249;0,28;0,371
Zorgaanbod;Uitstroom;Percentage;3;uitstroom_vrouw_basis_twintig;projection;0,443;0,389;0,342;0,377;0,37;0,51
Zorgaanbod;Uitstroom;Percentage;3;uitstroom_man_basis_vijf;projection;0,189;0,131;0,154;0,132;0,17;0,226
Zorgaanbod;Uitstroom;Percentage;3;uitstroom_man_basis_tien;projection;0,382;0,293;0,287;0,336;0,36;0,373
Zorgaanbod;Uitstroom;Percentage;3;uitstroom_man_basis_vijftien;projection;0,546;0,437;0,435;0,481;0,53;0,502
Zorgaanbod;Uitstroom;Percentage;3;uitstroom_man_basis_twintig;projection;0,679;0,563;0,567;0,6;0,65;0,632
Zorgaanbod;Uitstroom;Percentage;3;uitstroom_totaal_basis_vijf;projection;0,145;0,1001;0,1047;0,0847;0,1029;0,1534
Zorgaanbod;Uitstroom;Percentage;3;uitstroom_totaal_basis_tien;projection;0,3024;0,2317;0,2042;0,2246;0,238;0,2799
Zorgaanbod;Uitstroom;Percentage;3;uitstroom_totaal_basis_vijftien;projection;0,4484;0,3594;0,3255;0,3471;0,3775;0,4155
Zorgaanbod;Uitstroom;Percentage;3;uitstroom_totaal_basis_twintig;projection;0,5801;0,484;0,4491;0,4713;0,4792;0,5515
Opleiding;Instroom in de opleiding tot basisjaar;Aantal;0;n_inopleiding_perjaar;actual;513;602;707;719;798;718
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;per_vrouw_opleiding;actual;0,713;0,76;0,775;0,746;0,737;0,74
Opleiding;Instroom in de opleiding tot basisjaar;Aantal;1;opleidingsduur;actual;3;3;3;3,1;3,2;3,2
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;intern_rendement;actual;0,98;0,98;0,98;0,98;0,943;0,94
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;extern_rendement_vrouw_1jaar;projection;0,948;0,946;0,97;0,991;0,99;0,989
